Date,Club_code,Instructor,When_hour,Dayname,GX OCCUPANCY%,CLUB_SWIPES
2022-06-07 00:00:00,SDG,Alvan C.,18,Tue,100.0%,456
2022-06-13 00:00:00,SDG,Alvan C.,19,Mon,100.0%,307
2022-06-14 00:00:00,SDG,Alvan C.,18,Tue,100.0%,470
2022-06-07 00:00:00,SDG,Ardella B.,11,Tue,100.0%,169
2022-06-09 00:00:00,SDG,Ardella B.,12,Thu,100.0%,227
2022-06-16 00:00:00,SDG,Ardella B.,11,Thu,100.0%,175
2022-06-16 00:00:00,SDG,Ardella B.,12,Thu,100.0%,202
2022-06-21 00:00:00,SDG,Ardella B.,10,Tue,100.0%,107
2022-06-23 00:00:00,SDG,Ardella B.,11,Thu,100.0%,173
2022-06-23 00:00:00,SDG,Ardella B.,12,Thu,100.0%,229
2022-06-05 00:00:00,SDG,Jan T.,10,Sun,100.0%,190
2022-06-05 00:00:00,SDG,Wilda K.,14,Sun,100.0%,151
2022-06-19 00:00:00,SDG,Wilda K.,14,Sun,100.0%,135
2022-06-24 00:00:00,SDG,Wilda K.,11,Fri,100.0%,175
2022-06-01 00:00:00,SHV,Ana B.,18,Wed,100.0%,436
2022-06-02 00:00:00,SHV,Ana B.,10,Thu,100.0%,100
2022-06-03 00:00:00,SHV,Ana B.,18,Fri,100.0%,268
2022-06-03 00:00:00,SHV,Ana B.,19,Fri,100.0%,145
2022-06-06 00:00:00,SHV,Ana B.,17,Mon,100.0%,197
2022-06-06 00:00:00,SHV,Ana B.,18,Mon,100.0%,457
2022-06-06 00:00:00,SHV,Ana B.,19,Mon,100.0%,303
2022-06-07 00:00:00,SHV,Ana B.,9,Tue,100.0%,96
2022-06-13 00:00:00,SHV,Ana B.,19,Mon,100.0%,307
2022-06-15 00:00:00,SHV,Ana B.,17,Wed,100.0%,213
2022-06-17 00:00:00,SHV,Ana B.,18,Fri,100.0%,268
2022-06-21 00:00:00,SHV,Ana B.,9,Tue,100.0%,103
2022-06-21 00:00:00,SHV,Ana B.,17,Tue,100.0%,204
2022-06-22 00:00:00,SHV,Ana B.,18,Wed,100.0%,459
2022-06-24 00:00:00,SHV,Ana B.,18,Fri,100.0%,275
2022-06-18 00:00:00,SHV,Ashley W.,12,Sat,100.0%,188
2022-06-25 00:00:00,SHV,Ashley W.,9,Sat,100.0%,231
